locus	dataset_label	study_id	dataset_id	sample_size	qtl_type	source_url	n_rows	status	message	output	sha256
block154	GTEx_amygdala_eQTL	QTS000015	QTD000146	129	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000146/QTD000146.all.tsv.gz	42095	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_amygdala_eQTL.tsv.gz	f5cbbc2880309877d1139eb70a3f5a79c504070119caca6ce6f716ddc6dd009e
block464	GTEx_amygdala_eQTL	QTS000015	QTD000146	129	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000146/QTD000146.all.tsv.gz	69411	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_amygdala_eQTL.tsv.gz	c58a41b7d6974cc8bbe1831f68fa40247ca43617b4f2c44d046d5ebc0a930fca
block1671	GTEx_amygdala_eQTL	QTS000015	QTD000146	129	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000146/QTD000146.all.tsv.gz	32540	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_amygdala_eQTL.tsv.gz	55cb51ca25faf4d3cc881a09eea6442a9b21b5503b445492370af6f6279175e2
block154	GTEx_amygdala_sQTL	QTS000015	QTD000150	129	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000150/QTD000150.cc.tsv.gz	5961	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_amygdala_sQTL.tsv.gz	63c690399f1739d9efdec92469b52fba54fc95fd2d56a2c1fd95e3f20ef20de0
block464	GTEx_amygdala_sQTL	QTS000015	QTD000150	129	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000150/QTD000150.cc.tsv.gz	2527	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_amygdala_sQTL.tsv.gz	2c79aa82cbd8803fcc6104dd3c0ce404a4385f07360d5885b4209d7caed9b49e
block1671	GTEx_amygdala_sQTL	QTS000015	QTD000150	129	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000150/QTD000150.cc.tsv.gz	0	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_amygdala_sQTL.tsv.gz	57342d22287dc2a9e110a7d3070d603d308345c0d398cc9ea12d56028353908e
block154	GTEx_colon_sigmoid_eQTL	QTS000015	QTD000226	318	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000226/QTD000226.all.tsv.gz	39552	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_colon_sigmoid_eQTL.tsv.gz	16f5003853b24ad2a72217016ba66bcb2a110298e48b8920b91bed8bcbaccdfe
block464	GTEx_colon_sigmoid_eQTL	QTS000015	QTD000226	318	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000226/QTD000226.all.tsv.gz	82439	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block464__GTEx_colon_sigmoid_eQTL.tsv.gz	c8f64cbcd4c73dd155567e6db5ee867f61d1c2c593a1113ec23dfadefe3a5b5b
block1671	GTEx_colon_sigmoid_eQTL	QTS000015	QTD000226	318	eQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000226/QTD000226.all.tsv.gz	37958	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block1671__GTEx_colon_sigmoid_eQTL.tsv.gz	69390d9af79122c88aecd0542764de6580bd909b51381cff2084b7cf11c0ecd4
block154	GTEx_colon_sigmoid_sQTL	QTS000015	QTD000230	318	sQTL	https://ftp.ebi.ac.uk/pub/databases/spot/eQTL/sumstats/QTS000015/QTD000230/QTD000230.cc.tsv.gz	7289	reused_complete_slice		/root/IBD/20_Reproducibility_Ladder/extensions/20260817_shared_locus_finemap_qtl/data/qtl_raw/block154__GTEx_colon_sigmoid_sQTL.tsv.gz	fbd69f1a516fdf470cd70c278269a85f5c24e6f0976472d15cb70892fb903745
